,index,variable,value
18,18,diff(log(adjClose)),2.8037863e-05
59,59,diff(LINEARREG_INTERCEPT),3.0549687e-05
9,9,diff(low),3.4139073e-05
15,15,diff(log(high)),3.7553375e-05
58,58,diff(LINEARREG_ANGLE),3.781338e-05
34,34,diff(WMA),3.8129532e-05
8,8,diff(high),4.039584e-05
42,42,diff(MINUS_DM),4.0606377e-05
63,63,diff(AD),4.1633517e-05
4,4,pct_change(adjClose),4.178784e-05
24,24,CORREL,4.1826956e-05
49,49,diff(RSI),4.3008222e-05
35,35,diff(HT_DCPERIOD),4.300938e-05
13,13,diff(vwap),4.3019612e-05
25,25,LINEARREG_SLOPE,4.3176173e-05
50,50,diff(ULTOSC),4.3207285e-05
64,64,diff(ADOSC),4.322988e-05
36,36,diff(HT_DCPHASE),4.3421194e-05
41,41,diff(MINUS_DI),4.4309116e-05
17,17,diff(log(close)),4.4586763e-05
53,53,diff(MEDPRICE),4.471779e-05
10,10,diff(close),4.646767e-05
51,51,diff(WILLR),4.6796304e-05
7,7,diff(open),4.8010497e-05
3,3,pct_change(close),4.804162e-05
45,45,diff(PLUS_DM),4.8439724e-05
16,16,diff(log(low)),4.854575e-05
11,11,diff(adjClose),4.8898055e-05
44,44,diff(PLUS_DI),4.912201e-05
39,39,diff(DX),4.9170365e-05
57,57,diff(LINEARREG),4.9448376e-05
22,22,BOP,5.1429877e-05
21,21,APO,5.1929022e-05
56,56,diff(BETA),5.2536838e-05
28,28,diff(DEMA),5.2636253e-05
66,66,diff(diff(HT_TRENDLINE)),5.279074e-05
1,1,pct_change(high),5.3257212e-05
6,6,pct_change(vwap),5.384847e-05
2,2,pct_change(low),5.4187753e-05
52,52,diff(AVGPRICE),5.452363e-05
40,40,diff(MFI),5.5236687e-05
65,65,diff(OBV),5.5284538e-05
33,33,diff(TRIMA),5.5354e-05
38,38,diff(CMO),5.562026e-05
14,14,diff(log(open)),5.6068573e-05
68,68,diff(diff(ADX)),5.6752706e-05
47,47,diff(ROCP),5.6963465e-05
19,19,diff(log(volume)),5.820601e-05
32,32,diff(TEMA),5.8322028e-05
55,55,diff(WCLPRICE),5.9430386e-05
20,20,diff(log(vwap)),6.011374e-05
61,61,diff(NATR),6.096957e-05
0,0,pct_change(open),6.1139915e-05
69,69,diff(diff(ADXR)),6.1784725e-05
70,70,diff(diff(diff(T3))),6.2243926e-05
37,37,diff(CCI),6.523023e-05
67,67,diff(diff(SMA)),6.653113e-05
54,54,diff(TYPPRICE),6.889642e-05
46,46,diff(ROC),7.074143e-05
62,62,diff(TRANGE),7.088729e-05
26,26,STDDEV,7.101045e-05
30,30,diff(KAMA),7.18485e-05
23,23,PPO,7.222208e-05
12,12,diff(volume),7.531742e-05
5,5,pct_change(volume),7.54494e-05
43,43,diff(MOM),7.635112e-05
71,71,diff(diff(diff(TRIX))),7.769851e-05
31,31,diff(MA),8.636442e-05
60,60,diff(ATR),9.360305e-05
48,48,diff(ROCR),9.932641e-05
29,29,diff(EMA),0.000106045
27,27,VAR,0.00011084308
