,train_r2,train_naive_r2,train_pearson_corr,val_r2,val_naive_r2,val_pearson_corr
0,-0.1278836727142334,-0.12787437438964844,0.010312849655747414,-0.024510502815246582,-0.02396571636199951,-0.007528483401983976
1,-9.110342025756836,-9.110258102416992,0.00032753171399235725,-4.780292510986328e-05,0.0004839301109313965,-0.006830832455307245
2,-8.69473648071289,-8.694656372070312,0.007447680924087763,-0.01402890682220459,-0.013489723205566406,-0.00933870393782854
3,-0.3810436725616455,-0.38103222846984863,-0.002463346580043435,-0.025273680686950684,-0.02472841739654541,-0.016162941232323647
4,-0.7207210063934326,-0.7207068204879761,3.8900907384231687e-05,3.069639205932617e-05,0.0005624294281005859,0.06595483422279358
5,-0.3227900266647339,-0.3227790594100952,0.009544380009174347,-0.0005339384078979492,-1.9073486328125e-06,0.03267793729901314
6,-2.084568500518799,-2.084542989730835,-0.005233089439570904,0.0010623335838317871,0.0015935897827148438,0.03929383307695389
7,-0.5280702114105225,-0.5280575752258301,-0.0051450119353830814,-0.0026596784591674805,-0.0021265745162963867,0.02210702747106552
8,-1.1229565143585205,-1.122938871383667,0.0064811063930392265,-0.004366517066955566,-0.0038324594497680664,0.032079607248306274
9,-0.7517343759536743,-0.7517198324203491,-0.005398957058787346,-0.0015430450439453125,-0.0010104179382324219,-0.008797022514045238
